0.0464399,0.0907574,0.0912894,0.0559036,0.23258,0.211864,0.213458,0.228475
1.76472,0.121215,0.156863,0.223013,0.276298,0.264333,0.0649909,0.0906998
6.87311,0.143456,0.221531,0.103087,0.293992,0.114623,0.0883413,0.273753
10.1703,0.132456,0.203594,0.0927855,0.134813,0.18334,0.119523,0.117462
11.9815,0.0352917,0.120777,0.117588,0.279159,0.188372,0.153192,0.209027
15.3716,0.113491,0.143133,0.147536,0.125557,0.176406,0.0745461,0.0753066
17.0899,0.0915873,0.0995536,0.0688955,0.250257,0.137481,0.145291,0.223371
18.7617,0.112974,0.155032,0.18416,0.270966,0.234205,0.034873,0.145962
20.48,0.122994,0.169619,0.0908077,0.256223,0.107446,0.0755233,0.23423
21.7339,0.158641,0.121489,0.0435452,0.0703566,0.122765,0.173009,0.185655
22.1983,0.108753,0.153217,0.232341,0.274784,0.272049,0.0914367,0.0666729
23.8701,0.169201,0.186298,0.0624387,0.0802927,0.041735,0.188555,0.201543
25.5884,0.0422189,0.110256,0.0744743,0.231006,0.202288,0.180498,0.207914
28.9785,0.0979929,0.116438,0.128593,0.21809,0.161555,0.0781496,0.109428
30.6968,0.135106,0.204986,0.0970253,0.272814,0.107365,0.0798435,0.235613
32.1829,0.0372441,0.188387,0.0972445,0.293431,0.20899,0.18369,0.208334
32.3686,0.0618988,0.155174,0.186859,0.205322,0.236156,0.103371,0.0768426
34.0869,0.134013,0.152395,0.0524038,0.152373,0.0756973,0.0881839,0.203884
41.7959,0.0548194,0.103982,0.109714,0.257899,0.205428,0.0974778,0.183904
45.1396,0.080919,0.204864,0.0886104,0.244763,0.0988308,0.0678928,0.229669
45.5576,0.21901,0.169074,0.0486158,0.0878861,0.164125,0.22119,0.237714
46.0219,0.116401,0.117009,0.17298,0.166886,0.216913,0.0768121,0.0551462
51.1303,0.197426,0.239142,0.0854946,0.105859,0.053433,0.128606,0.236705
53.5452,0.143187,0.113309,0.186979,0.0884264,0.228481,0.179137,0.0690442
